epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,6856.84,0.85146,0.76803,1.16362,0.87,0.81046,0.8678,0.68062,0.86413,0.71856,1.20153,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
53,6984.04,0.85326,0.77794,1.16865,0.84829,0.82517,0.86627,0.67793,0.84703,0.71825,1.18371,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
54,7110.85,0.84236,0.76657,1.1549,0.88118,0.81812,0.87547,0.69294,0.83276,0.69039,1.17822,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251,0.024753,0.008251
55,7237.32,0.84787,0.76469,1.16105,0.87756,0.80334,0.86892,0.68601,0.83114,0.70059,1.17734,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
56,7363.35,0.84481,0.75924,1.15495,0.8647,0.8308,0.87678,0.69182,0.84407,0.68786,1.178,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
57,7489.89,0.84347,0.7629,1.15916,0.87102,0.80785,0.87302,0.68551,0.84229,0.69163,1.17918,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,7615.51,0.83975,0.75009,1.15278,0.86942,0.81904,0.87899,0.69164,0.84303,0.67298,1.18588,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,7741.68,0.8307,0.7455,1.14643,0.89036,0.81834,0.88145,0.69378,0.85019,0.67735,1.18362,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,7867.44,0.8366,0.7477,1.14979,0.88919,0.8238,0.88605,0.69359,0.84987,0.67502,1.18331,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,7993.82,0.83131,0.74225,1.14411,0.86868,0.82996,0.87778,0.69278,0.84377,0.70444,1.18253,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,8119.52,0.83354,0.74572,1.1527,0.8698,0.81688,0.87544,0.69404,0.82051,0.67595,1.16784,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,8245.69,0.82912,0.73206,1.14532,0.86095,0.83883,0.87842,0.69707,0.81639,0.6621,1.15295,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,8371.99,0.82491,0.73889,1.14691,0.88026,0.82381,0.87785,0.69451,0.82038,0.66698,1.16014,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,8498.19,0.82191,0.73472,1.14558,0.882,0.82335,0.87956,0.70579,0.8106,0.66214,1.15697,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,8625.62,0.82413,0.73767,1.14014,0.87735,0.8273,0.87774,0.69734,0.82025,0.6677,1.17026,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,8754.5,0.80611,0.7024,1.1314,0.87312,0.82844,0.87387,0.69816,0.80496,0.66307,1.15644,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,8893.52,0.81582,0.71576,1.1344,0.89516,0.80756,0.87569,0.68467,0.8551,0.69041,1.18847,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,9023.89,0.80636,0.71101,1.13478,0.89808,0.82283,0.88069,0.70322,0.81655,0.66237,1.16166,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,9149.5,0.80791,0.71201,1.1346,0.88797,0.81985,0.88091,0.70135,0.82835,0.66253,1.17217,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,9274.84,0.8077,0.71265,1.13713,0.89224,0.82152,0.8841,0.70215,0.81655,0.64985,1.16281,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,9400.2,0.8036,0.70394,1.13145,0.88554,0.82779,0.88079,0.70214,0.8202,0.64393,1.16428,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,9525.79,0.80563,0.70163,1.12855,0.88819,0.82728,0.88388,0.70341,0.81317,0.64525,1.15993,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,9651.05,0.81349,0.71938,1.14167,0.88364,0.82905,0.87916,0.70495,0.80444,0.66354,1.15937,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,9776.68,0.79814,0.69547,1.12477,0.88935,0.83625,0.88356,0.70232,0.82157,0.63679,1.17009,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,9904.75,0.79886,0.68963,1.12931,0.89409,0.82599,0.88279,0.70807,0.79827,0.64032,1.1512,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,10030.3,0.79125,0.68526,1.11843,0.89472,0.82072,0.88137,0.70828,0.79626,0.65145,1.15657,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,10155.8,0.79663,0.68097,1.12679,0.88738,0.83204,0.88426,0.70726,0.80163,0.64118,1.15523,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,10280.9,0.7942,0.68242,1.12646,0.8729,0.8332,0.88192,0.70995,0.79124,0.64823,1.14489,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,10407.4,0.78891,0.67859,1.11863,0.89037,0.83461,0.88593,0.71527,0.7859,0.62884,1.14462,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
